No,Region,District,D/S Office,Date of Death,Cause of Death,Sex,Age,Age Category,Main_Cause
1,Southern,Monaragala,Katharagama,2010-01-01,Body destroyed,Male,50-55,Subadults and adults,Unknown
2,Southern,Monaragala,Thanamalvila,2010-01-07,Unknown,Male,20,Subadults and adults,Unknown
3,North Western,Anuradhapura,Unknown,2010-01-08,Electrocuted,Male,30-35,Subadults and adults,Unintentional
4,Eastern,Ampara,Thirukkovil,2010-01-12,Gunshot,Female,15-20,Subadults and adults,Intentional
5,North Western,Kurunegala,Ipalogama,2010-01-15,Accident,Male,5,Juvenile,Unintentional
6,North Western,Kurunegala,Pannala,2010-01-16,Gunshot,Male,35-40,Subadults and adults,Intentional
7,Southern,Monaragala,Thanamalvila,2010-01-20,Unknown,Male,20-25,Subadults and adults,Unknown
8,North Western,Puttalam,Puttalam,2010-01-20,Gunshot,Male,7,Juvenile,Intentional
9,Eastern,Monaragala,Madulla,2010-01-25,Gunshot,Male,20-28,Subadults and adults,Intentional
10,Southern,Monaragala,Wellawaya,2010-01-26,Unknown,Male,20-25,Subadults and adults,Unknown
11,Eastern,Ampara,Mahaoya,2010-02-03,Gunshot,Female,10-12,Juvenile,Intentional
12,Polonnaruwa,Matale,Dambulla,2010-02-03,Electrocuted,Male,35-40,Subadults and adults,Unintentional
13,Eastern,Ampara,Addalachchenai,2010-02-04,Electrocuted,Male,30-35,Subadults and adults,Unintentional
14,North Western,Kurunegala,Ehetuwewa,2010-02-10,Gunshot,Male,20,Subadults and adults,Intentional
15,Polonnaruwa,Polonnaruwa,Hingurakgoda,2010-02-11,Train Accident,Female,15,Subadults and adults,Unintentional
16,North Western,Mannar,Musali,2010-02-11,Unknown,Male,40-50,Subadults and adults,Unknown
17,Southern,Monaragala,Thanamalvila,2010-02-14,Gunshot,Unknown,35-40,Subadults and adults,Intentional
18,Eastern,Ampara,Samanthurai,2010-02-15,Gunshot,Female,6,Juvenile,Intentional
19,North Western,Anuradhapura,Thirappane,2010-02-17,Gunshot,Female,25-30,Subadults and adults,Intentional
20,Southern,Badulla,Hildummulla,2010-02-17,Electrocuted,Male,25-30,Subadults and adults,Unintentional
21,Eastern,Ampara,Samanthurai,2010-02-21,Gunshot,Male,15-20,Subadults and adults,Intentional
22,North Western,Mannar,Mannar Town,2010-02-21,Accident,Male,15,Subadults and adults,Unintentional
23,Eastern,Ampara,Pothuvil,2010-02-24,Electrocuted,Male,35-40,Subadults and adults,Unintentional
24,Eastern,Ampara,Uhana,2010-02-25,Gunshot,Male,25-30,Subadults and adults,Intentional
25,North Western,Anuradhapura,Maha Vilachchiya,2010-02-27,Gunshot,Female,30,Subadults and adults,Intentional
26,Eastern,Ampara,Thirukkovil,2010-02-27,Injured,Male,35-40,Subadults and adults,Natural
27,Polonnaruwa,Trincomalee,Kuchchaveli,2010-03-01,Unknown,Male,25-30,Subadults and adults,Unknown
28,Eastern,Ampara,Mahaoya,2010-03-01,Gunshot,Male,15-20,Subadults and adults,Intentional
29,Eastern,Ampara,Lahugala,2010-03-03,Gunshot,Male,40-45,Subadults and adults,Intentional
30,Polonnaruwa,Trincomalee,Kantalai,2010-03-06,Gunshot,Male,30-35,Subadults and adults,Intentional
31,North Western,Unknown,Unknown,2010-03-08,Poisned,Male,25-30,Subadults and adults,Intentional
32,Southern,Monaragala,Wellawaya,2010-03-09,Gunshot,Unknown,4,Calf,Intentional
33,North Western,Monaragala,Unknown,2010-03-12,Unknown,Unknown,2-4,Calf,Unknown
34,Eastern,Ampara,Samanthurai,2010-03-16,Electrocuted,Male,18-20,Subadults and adults,Unintentional
35,Polonnaruwa,Matale,Wilgamuwa,2010-03-16,Gunshot,Female,30-35,Subadults and adults,Intentional
36,Polonnaruwa,Matale,Wilgamuwa,2010-03-16,Other,Unknown,1 Month,Infant,Other
37,Southern,Hambantota,Hambantota,2010-03-17,Gunshot,Male,45,Subadults and adults,Intentional
38,Southern,Monaragala,Wellawaya,2010-03-18,Gunshot,Male,25,Subadults and adults,Intentional
39,Polonnaruwa,Ampara,Dehiattakandiya,2010-03-19,Gunshot,Male,12,Juvenile,Intentional
40,Eastern,Batticaloa,Manmunai South and Eruvilpattu,2010-03-19,Poisned,Male,20-25,Subadults and adults,Intentional
41,Southern,Badulla,Hildummulla,2010-03-20,Gunshot,Male,25-30,Subadults and adults,Intentional
42,North Western,Unknown,Unknown,2010-03-21,Accident,Female,15,Subadults and adults,Unintentional
43,Polonnaruwa,Polonnaruwa,Hingurakgoda,2010-03-23,Train Accident,Female,35-40,Subadults and adults,Unintentional
44,Polonnaruwa,Ampara,Padiyathalawa,2010-03-27,Gunshot,Male,30,Subadults and adults,Intentional
45,Polonnaruwa,Ampara,Padiyathalawa,2010-03-27,Gunshot,Male,20,Subadults and adults,Intentional
46,Polonnaruwa,Polonnaruwa,Hingurakgoda,2010-03-28,Other,Female,4,Calf,Other
47,Southern,Monaragala,Buttala,2010-03-29,Unknown,Male,14,Subadults and adults,Unknown
48,Polonnaruwa,Trincomalee,Kantalai,2010-03-31,Gunshot,Male,30,Subadults and adults,Intentional
49,Polonnaruwa,Polonnaruwa,Elahera,2010-03-31,Unknown,Male,35-40,Subadults and adults,Unknown
50,North Western,Mannar,Musali,2010-03-31,Other,Female,5,Juvenile,Other
51,North Western,Anuradhapura,Horowpothana,2010-04-03,Unknown,Male,50,Subadults and adults,Unknown
52,Polonnaruwa,Trincomalee,Seruvila,2010-04-03,Gunshot,Female,20,Subadults and adults,Intentional
53,Eastern,Ampara,Uhana,2010-04-04,Electrocuted,Male,35-40,Subadults and adults,Unintentional
54,Eastern,Batticaloa,Porativu Pattu,2010-04-05,Gunshot,Male,30-35,Subadults and adults,Intentional
55,Polonnaruwa,Badulla,Mahiyanganaya,2010-04-07,Gunshot,Male,35-40,Subadults and adults,Intentional
56,Polonnaruwa,Trincomalee,Kantalai,2010-04-08,Gunshot,Male,25-30,Subadults and adults,Intentional
57,Eastern,Batticaloa,Manmunai South and Eruvilpattu,2010-04-10,Gunshot,Male,12-15,Subadults and adults,Intentional
58,Polonnaruwa,Polonnaruwa,Dimbulagala,2010-04-11,Hakkapatas,Male,18,Subadults and adults,Intentional
59,North Western,Anuradhapura,Palugaswewa,2010-04-13,Unknown,Female,Unknown,Unknown,Unknown
60,Eastern,Ampara,Lahugala,2010-04-13,Gunshot,Male,40-45,Subadults and adults,Intentional
61,Southern,Monaragala,Thanamalvila,2010-04-20,Other,Female,6 Months,Infant,Other
62,Polonnaruwa,Trincomalee,Kantalai,2010-04-23,Unknown,Unknown,15,Subadults and adults,Unknown
63,Polonnaruwa,Matale,Dambulla,2010-04-24,Electrocuted,Male,35-40,Subadults and adults,Unintentional
64,Polonnaruwa,Trincomalee,Morawewa,2010-04-27,Hakkapatas,Female,20-25,Subadults and adults,Intentional
65,North Western,Anuradhapura,Unknown,2010-04-27,Gunshot,Male,30,Subadults and adults,Intentional
66,Polonnaruwa,Trincomalee,Kantalai,2010-04-28,Gunshot,Male,25,Subadults and adults,Intentional
67,Southern,Monaragala,Wellawaya,2010-05-02,Gunshot,Male,25-30,Subadults and adults,Intentional
68,Eastern,Ampara,Damana,2010-05-02,Gunshot,Male,6-7,Juvenile,Intentional
69,Polonnaruwa,Polonnaruwa,Welikanda,2010-05-03,Gunshot,Male,35-40,Subadults and adults,Intentional
70,North Western,Anuradhapura,Horowpothana,2010-05-06,Gunshot,Male,25,Subadults and adults,Intentional
71,Polonnaruwa,Polonnaruwa,Hingurakgoda,2010-05-08,Train Accident,Unknown,3,Calf,Unintentional
72,Polonnaruwa,Trincomalee,Kantalai,2010-05-11,Gunshot,Female,30-35,Subadults and adults,Intentional
73,Southern,Hambantota,Sooriyawewa,2010-05-11,Electrocuted,Male,30,Subadults and adults,Unintentional
74,North Western,Anuradhapura,Horowpothana,2010-05-11,Gunshot,Male,30,Subadults and adults,Intentional
75,North Western,Anuradhapura,Nachchadoowa,2010-05-12,Gunshot,Female,30,Subadults and adults,Intentional
76,Polonnaruwa,Trincomalee,Morawewa,2010-05-13,Gunshot,Male,25-30,Subadults and adults,Intentional
77,Southern,Monaragala,Wellawaya,2010-05-16,Gunshot,Male,30-35,Subadults and adults,Intentional
78,Polonnaruwa,Trincomalee,Kantalai,2010-05-16,Other,Male,20,Subadults and adults,Other
79,Polonnaruwa,Ampara,Dehiattakandiya,2010-05-20,Other,Male,30,Subadults and adults,Other
80,North Western,Kurunegala,Ehetuwewa,2010-05-20,Gunshot,Male,30,Subadults and adults,Intentional
81,North Western,Kurunegala,Ambanpola,2010-05-21,Accident,Male,7,Juvenile,Unintentional
82,North Western,Anuradhapura,Palagala,2010-05-21,Gunshot,Female,25-30,Subadults and adults,Intentional
83,Polonnaruwa,Badulla,Mahiyanganaya,2010-05-22,Gunshot,Male,55,Subadults and adults,Intentional
84,Southern,Monaragala,Thanamalvila,2010-05-23,Gunshot,Female,30,Subadults and adults,Intentional
85,Polonnaruwa,Trincomalee,Kantalai,2010-05-25,Gunshot,Male,25-30,Subadults and adults,Intentional
86,North Western,Anuradhapura,Rambewa,2010-05-27,Accident,Female,25,Subadults and adults,Unintentional
87,Polonnaruwa,Trincomalee,Morawewa,2010-05-29,Other,Male,15-20,Subadults and adults,Other
88,North Western,Anuradhapura,Palugaswewa,2010-06-01,Gunshot,Male,20,Subadults and adults,Intentional
89,Eastern,Ampara,Ampara,2010-06-04,Gunshot,Male,6-8,Juvenile,Intentional
90,Polonnaruwa,Polonnaruwa,Hingurakgoda,2010-06-05,Unknown,Female,15,Subadults and adults,Unknown
91,Southern,Monaragala,Wellawaya,2010-06-08,Unknown,Male,10-12,Juvenile,Unknown
92,YalaBundala,Hambantota,Hambantota,2010-06-11,Electrocuted,Female,20,Subadults and adults,Unintentional
93,Polonnaruwa,Badulla,Mahiyanganaya,2010-06-16,Accident,Male,Unknown,Unknown,Unintentional
94,Southern,Monaragala,Thanamalvila,2010-06-18,Gunshot,Male,30-35,Subadults and adults,Intentional
95,North Western,Puttalam,Nawagattegama,2010-06-18,Other,Male,5-6,Juvenile,Other
96,North Western,Anuradhapura,Palugaswewa,2010-06-19,Poisned,Female,35,Subadults and adults,Intentional
97,Southern,Hambantota,Hambantota,2010-06-20,Gunshot,Unknown,25,Subadults and adults,Intentional
98,Eastern,Monaragala,Medagama,2010-06-22,Gunshot,Male,35-40,Subadults and adults,Intentional
99,Polonnaruwa,Polonnaruwa,Hingurakgoda,2010-06-22,Train Accident,Male,30,Subadults and adults,Unintentional
100,Eastern,Ampara,Uhana,2010-06-24,Gunshot,Female,15-18,Subadults and adults,Intentional
101,North Western,Anuradhapura,Medawachchiya,2010-06-24,Accident,Male,1,Calf,Unintentional
102,Polonnaruwa,Polonnaruwa,Hingurakgoda,2010-06-30,Gunshot,Female,45,Subadults and adults,Intentional
103,Eastern,Monaragala,Siyambalanduwa,2010-07-01,Unknown,Male,35-40,Subadults and adults,Unknown
104,Polonnaruwa,Matale,Dambulla,2010-07-01,Unknown,Male,20-25,Subadults and adults,Unknown
105,Southern,Hambantota,Hambantota,2010-07-03,Unknown,Unknown,20,Subadults and adults,Unknown
106,Southern,Hambantota,Katharagama,2010-07-03,Gunshot,Male,15-20,Subadults and adults,Intentional
107,YalaBundala,Hambantota,Thissamaharama,2010-07-06,Unknown,Male,Unknown,Unknown,Unknown
108,Polonnaruwa,Polonnaruwa,Hingurakgoda,2010-07-09,Gunshot,Unknown,35-40,Subadults and adults,Intentional
109,North Western,Anuradhapura,N. Palatha Central,2010-07-10,Gunshot,Male,30,Subadults and adults,Intentional
110,Polonnaruwa,Trincomalee,Kuchchaveli,2010-07-11,Gunshot,Male,Male,Unknown,Intentional
111,Southern,Monaragala,Thanamalvila,2010-07-12,Unknown,Male,2 Weeks,Infant,Unknown
112,Polonnaruwa,Trincomalee,Kinniya,2010-07-13,Natural,Male,30,Subadults and adults,Natural
113,North Western,Anuradhapura,N. Palatha Central,2010-07-15,Gunshot,Male,35,Subadults and adults,Intentional
114,North Western,Kurunegala,Galgamuwa,2010-07-19,Gunshot,Female,35,Subadults and adults,Intentional
115,North Western,Anuradhapura,Palugaswewa,2010-07-20,Train Accident,Female,10-12,Juvenile,Unintentional
116,North Western,Anuradhapura,Galenbindunuwewa,2010-07-20,Unknown,Female,8,Juvenile,Unknown
117,Southern,Hambantota,Ambalanthota,2010-08-01,Unknown,Male,Unknown,Unknown,Unknown
118,Polonnaruwa,Matale,Laggala-Pallegama,2010-08-02,Gunshot,Male,35-40,Subadults and adults,Intentional
119,North Western,Anuradhapura,Palugaswewa,2010-08-02,Unknown,Male,25,Subadults and adults,Unknown
120,Central,Badulla,Kandaketiya,2010-08-04,Unknown,Male,35,Subadults and adults,Unknown
121,Polonnaruwa,Matale,Wilgamuwa,2010-08-08,Other,Female,45,Subadults and adults,Other
122,Southern,Ratnapura,Embilipitiya,2010-08-11,Unknown,Male,10,Juvenile,Unknown
123,YalaBundala,Hambantota,Lunugamvehera,2010-08-13,Accident,Male,32,Subadults and adults,Unintentional
124,YalaBundala,Hambantota,Thissamaharama,2010-08-13,Unknown,Male,Unknown,Unknown,Unknown
125,Polonnaruwa,Trincomalee,Kinniya,2010-08-15,Unknown,Male,4-5,Juvenile,Unknown
126,North Western,Puttalam,Vanathavilluwa,2010-08-15,Gunshot,Male,15-20,Subadults and adults,Intentional
127,Eastern,Ampara,Pothuvil,2010-08-18,Septicemia,Male,40-45,Subadults and adults,Natural
128,Eastern,Ampara,Samanthurai,2010-08-20,Septicemia,Female,26-28,Subadults and adults,Natural
129,Eastern,Ampara,Addalachchenai,2010-08-20,Gunshot,Male,30-35,Subadults and adults,Intentional
130,Polonnaruwa,Polonnaruwa,Hingurakgoda,2010-09-03,Natural,Female,5-6,Juvenile,Natural
131,Eastern,Ampara,Lahugala,2010-09-03,Land mine,Male,40-45,Subadults and adults,Intentional
132,Polonnaruwa,Polonnaruwa,Medirigiriya,2010-09-06,Gunshot,Male,2,Calf,Intentional
133,Eastern,Ampara,Thirukkovil,2010-09-06,Body destroyed,Unknown,20-22,Subadults and adults,Unknown
134,North Western,Anuradhapura,Nachchadoowa,2010-09-06,Accident,Female,15,Subadults and adults,Unintentional
135,Eastern,Batticaloa,Manmunai South and Eruvilpattu,2010-09-07,Poisned,Male,3-4,Calf,Intentional
136,Eastern,Ampara,Uhana,2010-09-07,Accident,Male,20-25,Subadults and adults,Unintentional
137,Polonnaruwa,Trincomalee,Gomarankadawala,2010-09-07,Unknown,Male,30,Subadults and adults,Unknown
138,Polonnaruwa,Polonnaruwa,Hingurakgoda,2010-09-09,Gunshot,Male,8-10,Juvenile,Intentional
139,Eastern,Monaragala,Siyambalanduwa,2010-09-09,Gunshot,Male,25-30,Subadults and adults,Intentional
140,Eastern,Ampara,Lahugala,2010-09-09,Accident,Male,5-6,Juvenile,Unintentional
141,Eastern,Batticaloa,Manmunai South and Eruvilpattu,2010-09-10,Gunshot,Male,30-35,Subadults and adults,Intentional
142,Southern,Monaragala,Thanamalvila,2010-09-11,Gunshot,Male,25-30,Subadults and adults,Intentional
143,YalaBundala,Hambantota,Hambantota,2010-09-11,Other,Female,2.5,Calf,Other
144,Polonnaruwa,Polonnaruwa,Hingurakgoda,2010-09-14,Unknown,Female,15,Subadults and adults,Unknown
145,Polonnaruwa,Trincomalee,Morawewa,2010-09-14,Gunshot,Male,12-15,Subadults and adults,Intentional
146,Polonnaruwa,Trincomalee,Morawewa,2010-09-14,Gunshot,Unknown,20,Subadults and adults,Intentional
147,North Western,Anuradhapura,Medawachchiya,2010-09-15,Unknown,Unknown,Unknown,Unknown,Unknown
148,Eastern,Ampara,Damana,2010-09-15,Gunshot,Male,25-30,Subadults and adults,Intentional
149,Southern,Badulla,Hildummulla,2010-09-20,Unknown,Unknown,Unknown,Unknown,Unknown
150,North Western,Anuradhapura,Kekirawa,2010-09-21,Poisned,Male,17,Subadults and adults,Intentional
151,North Western,Kurunegala,Ehetuwewa,2010-09-22,Accident,Male,5.5 Months,Infant,Unintentional
152,Eastern,Batticaloa,Manmunai South and Eruvilpattu,2010-09-23,Gunshot,Male,30-33,Subadults and adults,Intentional
153,North Western,Trincomalee,Padavi Sri Pura,2010-09-24,Accident,Male,3-4,Calf,Unintentional
154,Polonnaruwa,Polonnaruwa,Hingurakgoda,2010-09-27,Unknown,Unknown,50-60,Subadults and adults,Unknown
155,North Western,Mannar,Musali,2010-09-28,Gunshot,Male,40-45,Subadults and adults,Intentional
156,North Western,Vavuniya,Vavuniya South,2010-09-30,Accident,Male,3-4,Calf,Unintentional
157,North Western,Anuradhapura,Palagala,2010-10-01,Unknown,Male,3 Months,Infant,Unknown
158,Polonnaruwa,Polonnaruwa,Hingurakgoda,2010-10-03,Train Accident,Female,17-18,Subadults and adults,Unintentional
159,Polonnaruwa,Polonnaruwa,Hingurakgoda,2010-10-03,Train Accident,Female,Unknown,Unknown,Unintentional
160,North Western,Mannar,Musali,2010-10-04,Gunshot,Male,15,Subadults and adults,Intentional
161,Polonnaruwa,Polonnaruwa,Hingurakgoda,2010-10-04,Unknown,Female,30,Subadults and adults,Unknown
162,Polonnaruwa,Trincomalee,Kantalai,2010-10-05,Gunshot,Male,25-30,Subadults and adults,Intentional
163,Southern,Ratnapura,Weligepola,2010-10-08,Unknown,Male,35-40,Subadults and adults,Unknown
164,YalaBundala,Hambantota,Hambantota,2010-10-08,Electrocuted,Male,25-30,Subadults and adults,Unintentional
165,Polonnaruwa,Polonnaruwa,Welikanda,2010-10-12,Hakkapatas,Female,25,Subadults and adults,Intentional
166,Polonnaruwa,Polonnaruwa,Dimbulagala,2010-10-13,Unknown,Female,10-15,Unknown,Unknown
167,Polonnaruwa,Trincomalee,Morawewa,2010-10-13,Other,Male,20,Subadults and adults,Other
168,Polonnaruwa,Polonnaruwa,Welikanda,2010-10-17,Gunshot,Female,15-20,Subadults and adults,Intentional
169,Polonnaruwa,Polonnaruwa,Dimbulagala,2010-10-18,Accident,Unknown,25,Subadults and adults,Unintentional
170,Southern,Hambantota,Ambalanthota,2010-10-20,Electrocuted,Male,25,Subadults and adults,Unintentional
171,North Western,Anuradhapura,Thirappane,2010-10-20,Unknown,Male,15,Subadults and adults,Unknown
172,Eastern,Ampara,Lahugala,2010-10-24,Natural,Male,60-65,Subadults and adults,Natural
173,North Western,Vavuniya,Vengalacheddiculam,2010-10-25,Gunshot,Male,3 Months,Infant,Intentional
174,North Western,Kurunegala,Mahawa,2010-10-25,Body destroyed,Male,25,Subadults and adults,Unknown
175,Eastern,Ampara,Addalachchenai,2010-10-27,Unknown,Male,30-35,Subadults and adults,Unknown
176,Southern,Hambantota,Hambantota,2010-10-30,Natural,Female,15,Subadults and adults,Natural
177,Polonnaruwa,Trincomalee,Trincomalee Town and Gravets,2010-11-01,Gunshot,Unknown,Unknown,Unknown,Intentional
178,Polonnaruwa,Polonnaruwa,Elahera,2010-11-01,Unknown,Female,20-25,Subadults and adults,Unknown
179,North Western,Anuradhapura,Kahatagasdigiliya,2010-11-01,Poisned,Male,25,Subadults and adults,Intentional
180,Eastern,Ampara,Uhana,2010-11-01,Electrocuted,Male,35-40,Subadults and adults,Unintentional
181,YalaBundala,Monaragala,Katharagama,2010-11-02,Other,Male,50,Subadults and adults,Other
182,Polonnaruwa,Polonnaruwa,Thamankaduwa,2010-11-03,Unknown,Male,25-30,Subadults and adults,Unknown
183,Southern,Hambantota,Lunugamvehera,2010-11-04,Electrocuted,Female,25,Subadults and adults,Unintentional
184,North Western,Anuradhapura,Kebithigollewa,2010-11-05,Accident,Female,30,Subadults and adults,Unintentional
185,North Western,Anuradhapura,Kebithigollewa,2010-11-05,Gunshot,Female,4,Calf,Intentional
186,North Western,Mannar,Vengalacheddiculam,2010-11-05,Hakkapatas,Male,6,Juvenile,Intentional
187,YalaBundala,Hambantota,Thissamaharama,2010-11-09,Electrocuted,Male,30,Subadults and adults,Unintentional
188,Polonnaruwa,Polonnaruwa,Dimbulagala,2010-11-09,Unknown,Male,35,Subadults and adults,Unknown
189,Polonnaruwa,Trincomalee,Kantalai,2010-11-10,Unknown,Unknown,25-30,Subadults and adults,Unknown
190,North Western,Anuradhapura,Kahatagasdigiliya,2010-11-14,Unknown,Unknown,Unknown,Unknown,Unknown
191,Polonnaruwa,Trincomalee,Gomarankadawala,2010-11-15,Body destroyed,Male,3-4,Calf,Unknown
192,North Western,Anuradhapura,Horowpothana,2010-11-15,Poisned,Male,4.5,Juvenile,Intentional
193,North Western,Anuradhapura,Medawachchiya,2010-11-17,Hakkapatas,Male,2.5,Calf,Intentional
194,Southern,Monaragala,Thanamalvila,2010-11-20,Gunshot,Male,30,Subadults and adults,Intentional
195,North Western,Vavuniya,Vavuniya,2010-11-20,Hakkapatas,Male,3.5,Calf,Intentional
196,Polonnaruwa,Trincomalee,Morawewa,2010-11-21,Body destroyed,Male,25-30,Subadults and adults,Unknown
197,North Western,Anuradhapura,Horowpothana,2010-11-21,Unknown,Unknown,Unknown,Unknown,Unknown
198,North Western,Kurunegala,Galgamuwa,2010-11-23,Accident,Male,35,Subadults and adults,Unintentional
199,Eastern,Ampara,Addalachchenai,2010-11-27,Gunshot,Male,30-35,Subadults and adults,Intentional
200,Southern,Monaragala,Thanamalvila,2010-11-30,Electrocuted,Male,40-45,Subadults and adults,Unintentional
201,Polonnaruwa,Trincomalee,Seruvila,2010-12-03,Hakkapatas,Male,15-20,Subadults and adults,Intentional
202,North Western,Anuradhapura,Ipalogama,2010-12-03,Hakkapatas,Male,8,Juvenile,Intentional
203,North Western,Anuradhapura,Thirappane,2010-12-03,Hakkapatas,Male,10,Juvenile,Intentional
204,North Western,Anuradhapura,N. Palatha Central,2010-12-03,Electrocuted,Male,30,Subadults and adults,Unintentional
205,Eastern,Monaragala,Madulla,2010-12-04,Body destroyed,Male,30-35,Subadults and adults,Unknown
206,Eastern,Batticaloa,Koralai Pattu North,2010-12-04,Gunshot,Female,10-12,Juvenile,Intentional
207,Polonnaruwa,Polonnaruwa,Welikanda,2010-12-04,Other,Male,35,Subadults and adults,Other
208,North Western,Puttalam,Karuwalagaswewa,2010-12-05,Other,Female,6 Months,Infant,Other
209,North Western,Kurunegala,Galgamuwa,2010-12-06,Accident,Unknown,10-15,Unknown,Unintentional
210,North Western,Mannar,Musali,2010-12-06,Hakkapatas,Male,25,Subadults and adults,Intentional
211,North Western,Puttalam,Karuwalagaswewa,2010-12-09,Other,Female,40-50,Subadults and adults,Other
212,Polonnaruwa,Polonnaruwa,Thamankaduwa,2010-12-09,Unknown,Male,2,Calf,Unknown
213,Polonnaruwa,Polonnaruwa,Dimbulagala,2010-12-11,Poisned,Male,4,Calf,Intentional
214,Polonnaruwa,Trincomalee,Seruvila,2010-12-12,Hakkapatas,Male,10-12,Juvenile,Intentional
215,Polonnaruwa,Polonnaruwa,Welikanda,2010-12-13,Unknown,Male,20-25,Subadults and adults,Unknown
216,Polonnaruwa,Polonnaruwa,Hingurakgoda,2010-12-19,Unknown,Male,22,Subadults and adults,Unknown
217,Eastern,Ampara,Mahaoya,2010-12-20,Gunshot,Male,30-35,Subadults and adults,Intentional
218,Southern,Monaragala,Thanamalvila,2010-12-20,Unknown,Male,35,Subadults and adults,Unknown
219,North Western,Anuradhapura,Padaviya,2010-12-20,Gunshot,Male,30,Subadults and adults,Intentional
220,Southern,Hambantota,Hambantota,2010-12-24,Body destroyed,Unknown,Unknown,Unknown,Unknown
221,Polonnaruwa,Polonnaruwa,Medirigiriya,2010-12-24,Other,Female,3,Calf,Other
222,North Western,Anuradhapura,Horowpothana,2010-12-25,Unknown,Male,15,Subadults and adults,Unknown
223,Polonnaruwa,Polonnaruwa,Welikanda,2010-12-25,Other,Male,15-20,Subadults and adults,Other
224,Southern,Ratnapura,Embilipitiya,2010-12-29,Unknown,Male,1 Month,Infant,Unknown
225,North Western,Puttalam,Nawagattegama,2010-12-29,Gunshot,Male,35-40,Subadults and adults,Intentional
226,Eastern,Ampara,Pothuvil,2010-12-29,Electrocuted,Male,25-30,Subadults and adults,Unintentional
227,Central,Kandy,Udadumbara,2010-12-31,Poisned,Female,45,Subadults and adults,Intentional
228,Southern,Ratnapura,Embilipitiya,2011-01-03,Unknown,Male,3 Months,Infant,Unknown
229,Southern,Ratnapura,Balangoda,2011-01-04,Unknown,Male,25-30,Subadults and adults,Unknown
230,North Western,Anuradhapura,N. Palatha Central,2011-01-06,Electrocuted,Male,35,Subadults and adults,Unintentional
231,Mahaweli,Polonnaruwa,Welikanda,2011-01-06,Flood,Female,3,Calf,Natural
232,Mahaweli,Polonnaruwa,Hingurakgoda,2011-01-08,Flood,Unknown,Unknown,Unknown,Natural
233,Southern,Monaragala,Thanamalvila,2011-01-10,Natural,Male,60,Subadults and adults,Natural
234,Eastern,Batticaloa,Eravur Pattu,2011-01-10,Gunshot,Male,30-35,Subadults and adults,Intentional
235,Mahaweli,Trincomalee,Kuchchaveli,2011-01-12,Unknown,Female,20-22,Subadults and adults,Unknown
236,Mahaweli,Polonnaruwa,Dimbulagala,2011-01-12,Flood,Male,40-50,Subadults and adults,Natural
237,Mahaweli,Polonnaruwa,Dimbulagala,2011-01-12,Gunshot,Male,40,Subadults and adults,Intentional
238,Mahaweli,Polonnaruwa,Thamankaduwa,2011-01-13,Flood,Female,4,Calf,Natural
239,Mahaweli,Polonnaruwa,Dimbulagala,2011-01-13,Unknown,Unknown,Unknown,Unknown,Unknown
240,North Western,Kurunegala,Ehetuwewa,2011-01-14,Poisned,Female,30,Subadults and adults,Intentional
241,Mahaweli,Trincomalee,Kantalai,2011-01-14,Flood,Male,4.5,Juvenile,Natural
242,North Western,Kurunegala,Polpithigama,2011-01-14,Electrocuted,Male,45,Subadults and adults,Unintentional
243,YalaBundala,Hambantota,Thissamaharama,2011-01-15,Gunshot,Male,20-25,Subadults and adults,Intentional
244,Mahaweli,Trincomalee,Gomarankadawala,2011-01-16,Gunshot,Male,35,Subadults and adults,Intentional
245,Southern,Monaragala,Thanamalvila,2011-01-17,Unknown,Male,35,Subadults and adults,Unknown
246,North Western,Anuradhapura,Horowpothana,2011-01-17,Electrocuted,Unknown,25,Subadults and adults,Unintentional
247,Southern,Hambantota,Hambantota,2011-01-24,Electrocuted,Male,12-15,Subadults and adults,Unintentional
248,Eastern,Ampara,Pothuvil,2011-01-28,Gunshot,Male,15-20,Subadults and adults,Intentional
249,Eastern,Ampara,Lahugala,2011-01-29,Gunshot,Male,25-30,Subadults and adults,Intentional
250,North Western,Anuradhapura,Galenbindunuwewa,2011-01-29,Poisned,Male,35-40,Subadults and adults,Intentional
251,Southern,Monaragala,Wellawaya,2011-01-29,Natural,Male,3 Months,Infant,Natural
252,YalaBundala,Hambantota,Thissamaharama,2011-01-30,Other,Male,15-20,Subadults and adults,Other
253,Eastern,Batticaloa,Koralai Pattu North,2011-01-30,Gunshot,Male,20-25,Subadults and adults,Intentional
254,Eastern,Batticaloa,Koralai Pattu North,2011-01-30,Gunshot,Female,35-40,Subadults and adults,Intentional
255,North Western,Anuradhapura,Galenbindunuwewa,2011-01-31,Hakkapatas,Male,15,Subadults and adults,Intentional
256,Southern,Ratnapura,Embilipitiya,2011-01-31,Unknown,Unknown,4,Calf,Unknown
257,Southern,Ratnapura,Embilipitiya,2011-01-31,Unknown,Unknown,Unknown,Unknown,Unknown
258,Southern,Ratnapura,Embilipitiya,2011-01-31,Unknown,Unknown,Unknown,Unknown,Unknown
259,Southern,Ratnapura,Embilipitiya,2011-01-31,Unknown,Unknown,Unknown,Unknown,Unknown
260,North Western,Anuradhapura,Thirappane,2011-01-31,Gunshot,Female,Unknown,Unknown,Intentional
261,North Western,Anuradhapura,Thirappane,2011-01-31,Gunshot,Female,Unknown,Unknown,Intentional
